排名,标题,综合分数,播放量,Up主,个人空间,视频地址,弹幕
1,【何同学】这视频能让你戒手机,9984582,540.2万,老师好我叫何同学,//space.bilibili.com/163637592,//www.bilibili.com/video/BV1ev411x7en,6.7万
2,“大头娃娃”卷土重来？！背后真相令人发指！,5226234,276.7万,老爸评测,//space.bilibili.com/347667464,//www.bilibili.com/video/BV1BA411W7sG,1.6万
3,课 堂 请 勿 对 对 子 6.0！！！,4271320,123.3万,三十六贱笑,//space.bilibili.com/90361813,//www.bilibili.com/video/BV1xr4y1T7Ye,2.6万
4,自制可体验飞行感觉的翅膀,3902347,286.8万,手工耿,//space.bilibili.com/280793434,//www.bilibili.com/video/BV1xh41127pb,4.1万
5,骁龙888性能分析：翻车！,2967070,243.5万,极客湾Geekerwan,//space.bilibili.com/25876945,//www.bilibili.com/video/BV1Et4y1r7Eu,2.1万
6,长辈试图和你搭话的模样,2391537,187.8万,自来卷三木,//space.bilibili.com/474702359,//www.bilibili.com/video/BV1Rh41117qa,9894
7,我麻了! 这动画太离谱了【阅片无数动漫篇19】,2388143,189.2万,凉风Kaze,//space.bilibili.com/14110780,//www.bilibili.com/video/BV1ri4y1F7Rg,1.3万
8,《送你一朵小红花》，真的真的好无聊！！,2326486,159.5万,路温1900,//space.bilibili.com/414336759,//www.bilibili.com/video/BV1754y147Ay,3.1万
9,我在两亿人面前坚持了50秒！！,2325798,184.7万,盗月社食遇记,//space.bilibili.com/99157282,//www.bilibili.com/video/BV1jy4y1H7rC,5.1万
10,罗汉鬼套路：lol新版本最骚奶爸 小丑回春流！！,2220709,136.6万,罗汉解说,//space.bilibili.com/51896064,//www.bilibili.com/video/BV1FK4y1W7Mg,4482
11,"""是时候来一场文艺复兴了。""",2186287,99.6万,某幻君,//space.bilibili.com/1577804,//www.bilibili.com/video/BV1br4y1T7A7,1.7万
12,慈善之王老番茄,2179992,168.7万,老番茄,//space.bilibili.com/546195,//www.bilibili.com/video/BV1gr4y1T7vr,1.2万
