书名,作者,价格,编号
C++ Primer Plus 第6版 中文版,[美] 史蒂芬·普拉达（Stephen Prata）,100.3,UB7209840d845c9
奔跑吧Linux内核（第2版）卷1：基础架构,笨叔,118.15,UB7263761464b35
奔跑吧Linux内核（第2版）卷2：调试与案例分析,笨叔,93.42,UBbf36922cbf9a
奔跑吧Linux内核入门篇（第2版）,"笨叔,陈悦",109.65,UBbf36923aa508
Python图像处理实战,[印度]桑迪潘·戴伊（Sandipan Dey）,75.65,UBb5fed77b98b5
C Primer Plus 第6版 中文版,[美]史蒂芬•普拉达（Stephen Prata）,91.8,UB6c9655f9db317
深入浅出 ASP.NET Core,梁桐铭,118.15,UB7227b6142b360
自然语言处理实战 利用Python理解、分析和生成文本,"[美]霍布森•莱恩（Hobson Lane）,科尔•霍华德（Cole Howard）,汉纳斯•马克斯•哈普克（Hannes Max Hapke）",84.15,UB72365d4a6fc05
软件调试 第2版 卷2 Windows平台调试 上、下册,张银奎,169.15,UB7227cc43ac2c8
精通Rust 第2版,"[印]拉胡尔·沙玛（Rahul Sharma）,[芬]韦萨·凯拉维塔（Vesa Kaihlavirta）",118.15,UB72639731c8b8e
Kali Linux2 网络渗透测试实践指南（第2版）,李华峰,75.65,UBbf34f0029144
Adobe Photoshop CC 2019经典教程（彩色版）,"[美]安德鲁·福克纳（Andrew Faulkner）,康拉德·查韦斯（Conrad Chavez）",91.8,UB6c964e84415b9
算法详解 卷2 图算法和数据结构,[美]蒂姆·拉夫加登（Tim Roughgarden）,41.65,UB6cb45024f8f11
软技能2 软件开发者职业生涯指南,[美]约翰·森梅兹（John Sonmez）,84.15,UB71ebbe0111296
MySQL是怎样运行的：从根儿上理解 MySQL,小孩子4919,84.15,UB7245a845bc684
C++语言的设计和演化,[美]本贾尼·斯特劳斯特卢普 ( Bjarne Stroustrup ),84.15,UB7227cc46b5b87
Python编程快速上手——让繁琐工作自动化（第2版）,[美]阿尔•斯维加特（Al Sweigart）,75.65,UBbf1aa359cbf9
编程的修炼,[荷兰]艾兹格· W. 迪杰斯特拉（Edsger W. Dijkstra）,46.75,UB7227cc463393d
Go语言趣学指南,"[加] 内森•扬曼（Nathan Youngman）,[英] 罗杰•佩珀（Roger Peppé）",58.65,UBb60129159591
Python游戏趣味编程,童晶,58.65,UB72096d97d6149
编写整洁的Python代码,马里亚诺·阿那亚（Mariano Anaya）,67.15,UB72637d92fef0a
C和指针,[美]肯尼斯·里科（Kenneth Reek）,84.15,UB72279bd0289de
百面深度学习 算法工程师带你去面试,"诸葛越,江云胜,葫芦娃",84.15,UB71eb7f09e64b2
Docker实践（第2版）,[英]伊恩·米尔（Ian Miell）,84.15,UB723698d9dd590
Spring实战 第5版,[美]克雷格·沃斯（Craig Walls）,84.15,UB6cb48474abc65
算法精粹：经典计算机科学问题的Python实现,[美] 大卫·科帕克（David Kopec）,50.15,UB71fac289a9240
HTTP抓包之接口自动化测试,肖佳,58.65,UB721893c2713ea
深度学习与围棋,[美]马克斯•帕佩拉（Max Pumperla）,84.15,UBbf19f2567b1b
Python趣味创意编程,童晶,67.15,UBbf16e3464c71
Python金融大数据分析 第2版,[德]伊夫·希尔皮斯科（Yves Hilpisch）,118.15,UB6c965dace7319
敏捷整洁之道：回归本源,[美] 罗伯特·C. 马丁（Robert C. Martin）,58.65,UB71fac65f9237e
机器学习的数学,雷明,92.65,UB7812edb26d3f9
精通Kubernetes,[美]吉吉·塞凡（Gigi Sayfan）,75.65,UB72096618f0899
调色师手册：色彩风格宝典,[美] 阿列克谢·凡·赫克曼（Alexis Van Hurkman）,101.15,UB72637612b06ad
笨办法学Python 3 进阶篇,[美] 泽德·A. 肖（Zed A. Shaw）,50.15,UBb6400a092399
UNIX/Linux 系统管理技术手册（第5版）,"［美］埃薇•内梅特（Evi Nemeth）,加思•斯奈德（Garth Snyder）,特伦特•R.海恩（Trent R.Hein）,本•惠利（ Ben Whaley）,丹•麦金（Dan Mackin)等",142.8,UB7227cc3f5eebe
React实战,［美］马克·蒂伦斯·托马斯（Mark Tielens Thomas）,58.65,UBb600b6069ff7
微服务实战,"[英]摩根·布鲁斯（Morgan Bruce）,保罗·A.佩雷拉（Paulo A. Pereira）",75.65,UB71ebb28715d8e
Python股票量化交易从入门到实践,袁霄,75.65,UB71fa8e7781d3a
虚拟化高性能NoSQL存储案例精粹 Redis+Docker,高洪岩,142.8,UBbf19f2751ff4
数据结构与算法详解,陈锐,101.15,UBbf1888a83438
自然语言处理与计算语言学,巴格夫·斯里尼瓦萨-德西坎（Bhargav Srinivasa-Desikan）,50.15,UB7218a27c085bf
Adobe After Effects CC 2019经典教程 彩色版,"[美]布里·根希尔德（Brie Gyncild）,丽莎·弗里斯玛（Lisa Fridsma）",101.15,UB6c9677a548570
黑客之道 漏洞发掘的艺术 第2版,[美]乔恩•埃里克森（Jon Erickson）,101.15,UB720969fa1e61d
Spring Cloud微服务和分布式系统实践,杨开振,101.15,UBb64009785702
黑客秘笈 渗透测试实用指南 第3版,[美]皮特 • 基姆（Peter Kim）,67.15,UBb61ef7f6ae28
代码精进之路 从码农到工匠,张建飞,58.65,UB6c9665253b5f4
Python程序员面试秘笈,米努 • 科利（Meenu Kohli）,50.15,UB721893d07f77c
Python金融实战案例精粹,斯文,101.15,UB71fa8e77c4505
Scratch 3.0少儿游戏趣味编程2,李强,58.65,UB72186e6e63059
C Primer Plus 第6版 中文版习题解答,[美] 史蒂芬•普拉达（Stephen Prata）,67.15,UBb600b59872ba
Flutter 开发之旅从南到北,杨加康,67.15,UB7254663955be1
人工智能算法（卷2）：受大自然启发的算法,[美] 杰弗瑞·希顿（Jeffery Heaton）,58.65,UB7245b372bc841
鸿蒙应用开发实战,张荣超,67.15,UB7812f8a7377b2
程序设计方法（第2版）,"[美]马蒂亚斯·费雷森（Matthias Felleisen）,罗伯特·布鲁斯·芬德勒（Robert Bruce Findler）,马修·弗拉特（Matthew Flatt）,施拉姆·克里斯纳默西（Shriram Krishnamurthi",84.15,UB7236c90690c9d
Python自动化运维实战,[美] 巴塞姆· 阿利（Bassem Aly）,67.15,UBb61fe5c31ec9
C和C++游戏趣味编程（全彩印刷）,童晶,84.15,UBbf18c3bc7112
分析模式：可复用的对象模型,[美]马丁·福勒（Martin Fowler）,67.15,UB72457819a54e6
Python无监督学习,朱塞佩·博纳科尔索（Giuseppe Bonaccorso）,67.15,UB72277dfa05cd6
Jupyter数据科学实战,普拉泰克·古普塔（Prateek Gupta）,67.15,UB7236b315fada0
Java经典入门指南,[加]布迪·克尼亚万(Budi Kurniawan),67.15,UBb6223b515793
C专家编程,[美] 彼得·范德林登（Peter Van Der Linden）,58.65,UB7236912573d6a
Anaconda数据科学实战,"[美]严玉星（Yuxing Yan）,詹姆斯·严（James Yan）",67.15,UB71eb953e63faf
零基础学机器学习,黄佳,76.33,UB7245bf2ca7715
代码整洁之道,[美] 罗伯特·C. 马丁（Robert C. Martin） ,84.15,UBb601dc20509c
R语言医学数据分析实战,赵军,67.15,UB7218a640969d0
计算机科学概论 Python版,"[美] 克里斯汀·阿尔瓦拉多（Christine Alvarado）,扎卡里·道兹（Zachary Dodds）,吉奥夫·昆宁（Geoff Kuenning）,兰·列别斯科（Ran Libesk）",41.65,UB71faa0ef5aa94
数据结构和算法 Python和C++语言描述,"[美] 戴维·M.瑞德（David M. Reed）,约翰·策勒（John Zelle）",75.65,UBb64009ede840
Kubernetes从入门到实践,赵卓,67.15,UB72096269c1157
操作系统导论,[美] 雷姆兹·H.阿帕希杜塞尔（ Remzi H. Arpaci-Dusseau） [美]安德莉亚·C.阿帕希杜塞尔（Andrea C. Arpaci-Dusseau）,84.15,N16113
C/C++代码调试的艺术,张海洋,76.33,UBbf1c79c9d3ed
Python渗透测试实战,李华峰,67.15,UBbf179e6c19b8
Java编程从入门到实践,"扶松柏,王洋",75.65,UBb5fe21dc8a7b
C++ Primer Plus（第6版）中文版习题解答,[美] 史蒂芬•普拉达（Stephen Prata）,75.65,UB71fac65f02978
Vim 8文本处理实战,[美]鲁斯兰 • 奥西波夫（Ruslan Osipov）,50.15,UB6cb45025c63e2
交互的Python：数据分析入门,王诗翔,67.15,UB72096273d8964
计算机图形学编程 使用OpenGL和C++,"[美]V.斯科特·戈登（V. Scott Gordon）,约翰·克莱维吉（John Clevenger）",58.65,UBb600b5af4598
Python密码学编程 第2版,[美]阿尔·斯维加特（Al Sweigart）,75.65,UBb61ef8515bba
零基础搭建直播室与云直播平台,姚大庆,92.65,UBbf1b928802c5
Bash Cookbook中文版,"[加]罗恩·布拉什（Ron Brash）,[加]加内什·奈克（Ganesh Naik）",50.15,UB6cb4758de01fb
Angular应用程序开发指南,成龙,109.65,UB71eb98ed6fc85
OpenCV 4快速入门,"冯振,郭延宁,吕跃勇",75.65,UB7209964621702
数学之美 第三版,吴军,58.65,UB71ebab13c29c5
Python忍者秘籍,[美]科迪·杰克逊（Cody Jackson）,67.15,UB71fac23400c94
游戏引擎原理与实践 卷1 基础框架,程东哲,92.65,UB6ca55a77d6b35
Adobe Illustrator CC 2019经典教程（彩色版）,[美]Brian Wood,126.65,UB71eb9fe6b6c99
C++案例趣学,"张森,董晶",75.65,UBbf16e3464ab5
Adobe Premiere Pro CC 2019经典教程（彩色版）,[英]马克西姆·亚戈（Maxim Jago）,126.65,UB6cb48078995ac
Python Qt GUI与数据可视化编程,王维波 栗宝鹃 张晓东,84.15,UB6c7836a7146b7
PyTorch生成对抗网络编程,[英]塔里克·拉希德（Tariq Rashid）,67.15,UB7254b07f48412
精通Spark数据科学,安德鲁·摩根（Andrew Morgan）,92.65,UB7227cc3e6d2b6
从零开始搭建前端监控平台,陈辰,50.15,UBb640095f4889
Python迁移学习,迪潘简·撒卡尔（Dipanjan Sarkar）,75.65,UB724586bea4f66
Spark机器学习实战,西亚玛克•阿米尔霍吉（Siamak Amirghodsi）,108.8,UB72279bcfb49b8
机器学习精讲 全彩印刷,[加拿大] 安德烈·布可夫（Andriy Burkov）,58.65,UB6ca56d535c5c5
数码探科学,"项华,毛澄洁",58.65,UB72457bdf2a078
敏捷中国史话,"熊节,虎头锤",67.15,UB71ebbe3acef8c
Python深度学习与项目实战,周北,67.15,UBbf19f26d4bf8
