排名,标题,综合分数,播放量,Up主,个人空间,视频地址,弹幕
1,《崩坏3》动画短片「渡尘」,5180662,285.5万,崩坏3第一偶像爱酱,//space.bilibili.com/27534330,//www.bilibili.com/video/BV1jN411o7zS,5.9万
2,课 堂 请 勿 对 对 子 9.0 ！！！,4662462,114.1万,三十六贱笑,//space.bilibili.com/90361813,//www.bilibili.com/video/BV1Az4y1D7rD,3.8万
3,40元一把，辣椒致死量！肉串撸烤饼，绝！,3774927,336万,盗月社食遇记,//space.bilibili.com/99157282,//www.bilibili.com/video/BV1mz4y1m71t,2万
4,强力的卡片都伴随着风险【水无月菌】,3324813,242.4万,水无月菌,//space.bilibili.com/1958342,//www.bilibili.com/video/BV1hN411o7Lm,1.5万
5,《明日方舟》SideStory「画中人」活动宣传PV,2726442,169.9万,明日方舟,//space.bilibili.com/161775300,//www.bilibili.com/video/BV1jv4y1f7jH,3.7万
6,我花一个星期终于完成这个圆周率拼图了,2723192,155万,贤宝宝Baby,//space.bilibili.com/3957971,//www.bilibili.com/video/BV1AX4y1N7fC,1.6万
7,“敦煌毁林案”： 13300亩还是6000亩？有图有真相,2443919,175.3万,新华社,//space.bilibili.com/473837611,//www.bilibili.com/video/BV1Rr4y1N7xm,5541
8,小伙长得太帅，能直接把人帅死！【阅片无数77】,2351802,205.3万,凉风Kaze,//space.bilibili.com/14110780,//www.bilibili.com/video/BV19K4y1W7Cw,1.2万
9,大雄...已经...无所谓了...【第三期】！！！,2167978,75.9万,逗比的雀巢,//space.bilibili.com/5294454,//www.bilibili.com/video/BV1qo4y1R789,2162
10,这个番茄也太能吃了吧,2096112,174.6万,中国BOY超级大猩猩,//space.bilibili.com/562197,//www.bilibili.com/video/BV1Et4y1B7sq,1.5万
11,绝对真实！做主播是一种怎样的体验？,2080277,140.9万,LexBurner,//space.bilibili.com/777536,//www.bilibili.com/video/BV1co4y1Z75P,8558
12,【危机合约#4】全网首杀 危机等级32 异刃无尽 拳崩大炮,2068826,74.9万,巅峰计划,//space.bilibili.com/60400874,//www.bilibili.com/video/BV1Ki4y1F7Md,9656
13,靠谱盘点108：长手战神！TheShy十四杀奎因，斩获MVP！Xiaohu：我有上单辛德拉可以一战,2020129,180.6万,靠谱电竞,//space.bilibili.com/279991456,//www.bilibili.com/video/BV1ap4y1s7Qz,1.2万
14,LOL世界级泄愤流扫射处刑！我收不了手啦啊啊啊啊啊啊！【有点骚东西】,2003537,150.3万,上海滩许Van强,//space.bilibili.com/23604445,//www.bilibili.com/video/BV1qo4y1R72z,5702
15,【散人】国产恐怖精品《纸嫁衣》 拯救媳妇之旅（完结共4P）,1805483,128.9万,逍遥散人,//space.bilibili.com/168598,//www.bilibili.com/video/BV1Dy4y117Vs,3.7万
16,血吊坠| 染血的爱，你敢要吗？,1733795,140万,塑料叉FOKU,//space.bilibili.com/130636947,//www.bilibili.com/video/BV1VN411o78v,1.2万
17,再也不想在热搜上看到明星鸡毛蒜皮的小事了！,1674906,78.9万,G僧东东,//space.bilibili.com/226243718,//www.bilibili.com/video/BV1xA411p7KN,1.8万
18,【C菌】 寂静岭再现? 恐怖游戏大作《灵媒》长篇实况连载 | 更新第3集,1660141,93.5万,渗透之C君,//space.bilibili.com/4162287,//www.bilibili.com/video/BV1oT4y1P7oE,1.1万
19,这《恋爱模拟器》像恐怖游戏！！,1648909,130.4万,黑镖客梦回,//space.bilibili.com/10558098,//www.bilibili.com/video/BV1nv411s78z,6013
