排名,标题,综合分数,播放量,Up主,个人空间,视频地址,弹幕
1,《高老庄》 大唐Gang单曲,4673591,302.3万,倒悬的橘子,//space.bilibili.com/40966108,//www.bilibili.com/video/BV1Ah411173W,1.2万
2,课 堂 请 勿 对 对 子 8.0 ！！！,4286301,105.7万,三十六贱笑,//space.bilibili.com/90361813,//www.bilibili.com/video/BV1UT4y1A7U9,3.1万
3,《超级烂活》,3192446,198.9万,小潮院长,//space.bilibili.com/5970160,//www.bilibili.com/video/BV1do4y1o7oU,1.5万
4,试吃世界上最贵的螃蟹，历史最高成交价500万日元的五辉星真有那么好吃吗？,3181465,194.8万,大祥哥来了,//space.bilibili.com/2920960,//www.bilibili.com/video/BV1b54y1p7on,1万
5,十年磨一键,3072604,227.8万,老番茄,//space.bilibili.com/546195,//www.bilibili.com/video/BV1gr4y1K78e,1.3万
6,郑爽刷新三观，我从来没见过这么好的女孩！,2899209,361.3万,三代鹿人,//space.bilibili.com/5870268,//www.bilibili.com/video/BV1Zf4y1r7P1,1.1万
7,你敢在公共场合抽烟！？,2842495,160.8万,花少北丶,//space.bilibili.com/2206456,//www.bilibili.com/video/BV1mV411q7YF,4.5万
8,“剃光头”式砍伐触目惊心！万亩沙漠防护林被毁，敦煌防沙最后屏障几近消失,2592049,105.1万,新华社,//space.bilibili.com/473837611,//www.bilibili.com/video/BV1wv411s7tC,1.1万
9,人间玉桂狗！让你嘴角疯狂上扬的超治愈犬系妆容,2440973,139.7万,机智的党妹,//space.bilibili.com/466272,//www.bilibili.com/video/BV1sT4y1P72g,1.4万
10,这才是大人该看的二次元英语书【阅片无数动漫篇20】,2432043,198.2万,凉风Kaze,//space.bilibili.com/14110780,//www.bilibili.com/video/BV1wV411b715,1.2万
11,【片片】核电站爆炸！世界末日秒变大型认亲现场！高能解说悬疑神剧《暗黑》第二季-下,2289351,96.4万,小片片说大片,//space.bilibili.com/10119428,//www.bilibili.com/video/BV1uA411u7wC,7770
12,孙笑川因看不惯郑爽而开始亲切互动,2256396,247.8万,小朱佩琪66,//space.bilibili.com/430362460,//www.bilibili.com/video/BV1GK411u7A9,5061
13,郑爽事件DISS-《一xxxx人》,2214759,110.5万,因你而在的梦,//space.bilibili.com/38640369,//www.bilibili.com/video/BV1kh411y78a,3670
14,历时半年的项目，全程核能！,1967681,100.1万,凹凸赛克,//space.bilibili.com/37607457,//www.bilibili.com/video/BV1LT4y1P7q3,5203
15,【花泽香菜】中日意思大不同！和香菜老师一起学习日语吧~,1951290,80.9万,花泽香菜,//space.bilibili.com/1202762767,//www.bilibili.com/video/BV1JV411q7pK,9737
16,有你这么说唱的吗？,1939431,116.5万,红豆稀饭中,//space.bilibili.com/250648682,//www.bilibili.com/video/BV1cX4y1T71f,1664
17,靠谱盘点107：天道酬勤！小虎转型上路进步神速，Doinb：他真的请教了很多选手,1861580,151.3万,靠谱电竞,//space.bilibili.com/279991456,//www.bilibili.com/video/BV1Rr4y1N76L,9533
18,这裤衩子，我不买也罢！,1830365,87.1万,某幻君,//space.bilibili.com/1577804,//www.bilibili.com/video/BV19T4y1A79L,1.4万
